source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_current_immortals,current,Implementors,Eru,Eru,no,no,listed_current_immortal,1,candidate,
2026_06_16_current_immortals,current,Implementors,Manwë,Manwë,no,no,listed_current_immortal,2,candidate,
2026_06_16_current_immortals,current,Aratar,Dáin,Dáin,no,no,listed_current_immortal,3,candidate,
2026_06_16_current_immortals,current,Aratar,Frór,Frór,no,no,listed_current_immortal,4,candidate,
2026_06_16_current_immortals,current,Aratar,Imago,Imago,no,no,listed_current_immortal,5,candidate,
2026_06_16_current_immortals,current,Aratar,Jahara,Jahara,no,no,listed_current_immortal,6,candidate,
2026_06_16_current_immortals,current,Aratar,Mint,Mint,no,no,listed_current_immortal,7,candidate,
2026_06_16_current_immortals,current,Aratar,Rogon,Rogon,no,no,listed_current_immortal,8,candidate,
2026_06_16_current_immortals,current,Aratar,Timodeus,Timodeus,no,no,listed_current_immortal,9,candidate,
2026_06_16_current_immortals,current,Aratar,Waba,Waba,no,no,listed_current_immortal,10,candidate,
2026_06_16_current_immortals,current,Valar,Arfang,Arfang,no,no,listed_current_immortal,11,candidate,
2026_06_16_current_immortals,current,Valar,Antti,Antti,no,no,listed_current_immortal,12,candidate,
2026_06_16_current_immortals,current,Valar,Elemir,Elemir,no,no,listed_current_immortal,13,candidate,
2026_06_16_current_immortals,current,Valar,Force,Force,no,no,listed_current_immortal,14,candidate,
2026_06_16_current_immortals,current,Valar,Orlanth,Orlanth,no,no,listed_current_immortal,15,candidate,
2026_06_16_current_immortals,current,Valar,Pilois,Pilois,no,no,listed_current_immortal,16,candidate,
2026_06_16_current_immortals,current,Maiar,Almarian,Almarian,no,no,listed_current_immortal,17,candidate,
2026_06_16_current_immortals,current,Maiar,Aloonion,Aloonion,yes,no,listed_current_immortal,18,candidate,
2026_06_16_current_immortals,current,Maiar,Andróg,Andróg,no,no,listed_current_immortal,19,candidate,
2026_06_16_current_immortals,current,Maiar,Fankil,Fankil,no,no,listed_current_immortal,20,candidate,
2026_06_16_current_immortals,current,Maiar,Indigo,Indigo,no,no,listed_current_immortal,21,candidate,
2026_06_16_current_immortals,current,Maiar,Naga,Naga,no,no,listed_current_immortal,22,candidate,
2026_06_16_current_immortals,current,Maiar,Veladan,Veladan,no,no,listed_current_immortal,23,candidate,
2026_06_16_current_immortals,current,Maiar,Arcane,Arcane,yes,no,listed_current_immortal,24,candidate,
2026_06_16_current_immortals,current,Maiar,Azan,Azan,no,no,listed_current_immortal,25,candidate,
2026_06_16_current_immortals,current,Maiar,Bantak,Bantak,no,no,listed_current_immortal,26,candidate,
2026_06_16_current_immortals,current,Maiar,Brandish,Brandish,no,no,listed_current_immortal,27,candidate,
2026_06_16_current_immortals,current,Maiar,Brylon,Brylon,no,no,listed_current_immortal,28,candidate,
2026_06_16_current_immortals,current,Maiar,Caldan,Caldan,no,no,listed_current_immortal,29,candidate,
